u,g,r,i,z,u-g,g-r,r-i,i-z
23.07865,20.7142,19.38177,18.77324,18.48764,2.36445,1.33243,0.60853,0.2856
19.75112,18.82011,18.60563,18.54613,18.53452,0.93101,0.21448,0.0595,0.01161
20.05738,19.13359,18.92141,18.85107,18.82063,0.92379,0.21218,0.07034,0.03044
25.85249,20.92273,19.64096,19.0912,18.7935,4.92976,1.28177,0.54976,0.2977
20.62845,19.7188,19.47047,19.38479,19.33975,0.90965,0.24833,0.08568,0.04504
19.86882,18.91042,18.69458,18.62479,18.65977,0.9584,0.21584,0.06979,-0.03498
20.55706,19.80623,19.47494,19.41359,19.27542,0.75083,0.33129,0.06135,0.13817
20.14733,18.6026,18.06846,17.88408,17.83677,1.54473,0.53414,0.18438,0.04731
20.70611,19.81436,19.53809,19.46199,19.53881,0.89175,0.27627,0.0761,-0.07682
19.55329,18.13467,17.64451,17.47612,17.41838,1.41862,0.49016,0.16839,0.05774
19.81129,18.87937,18.662,18.58277,18.61592,0.93192,0.21737,0.07923,-0.03315
16.56132,15.9547,16.28035,16.51801,16.68451,0.60662,-0.32565,-0.23766,-0.1665
20.9264,20.06952,19.8002,19.7182,19.65349,0.85688,0.26932,0.082,0.06471
19.45678,18.57452,18.36917,18.29823,18.30465,0.88226,0.20535,0.07094,-0.00642
19.957,19.06601,18.8783,18.80958,18.78544,0.89099,0.18771,0.06872,0.02414
20.06379,19.14633,18.93601,18.84692,18.9279,0.91746,0.21032,0.08909,-0.08098
20.89584,19.46876,18.85919,18.59128,18.48489,1.42708,0.60957,0.26791,0.10639
21.25157,20.14665,19.94073,19.73426,19.89709,1.10492,0.20592,0.20647,-0.16283
20.61877,19.81147,19.59705,19.55331,19.61653,0.8073,0.21442,0.04374,-0.06322
20.36304,19.42354,19.17823,19.10568,18.98003,0.9395,0.24531,0.07255,0.12565
18.30677,17.19531,16.75948,16.54332,16.46248,1.11146,0.43583,0.21616,0.08084
20.94603,19.98295,19.65986,19.60433,19.5268,0.96308,0.32309,0.05553,0.07753
21.11555,20.18632,19.88703,19.75067,19.79053,0.92923,0.29929,0.13636,-0.03986
19.3752,18.41544,18.18182,18.11185,18.09805,0.95976,0.23362,0.06997,0.0138
20.74437,20.03679,19.77229,19.59796,19.61767,0.70758,0.2645,0.17433,-0.01971
21.10309,20.13908,19.84083,19.70144,19.71229,0.96401,0.29825,0.13939,-0.01085
20.88974,19.89865,19.6361,19.55551,19.67076,0.99109,0.26255,0.08059,-0.11525
20.26555,19.36312,19.1161,19.05822,19.04024,0.90243,0.24702,0.05788,0.01798
20.14296,19.22764,18.97523,18.89198,18.92077,0.91532,0.25241,0.08325,-0.02879
20.06705,19.1987,18.96493,18.85319,18.97678,0.86835,0.23377,0.11174,-0.12359
23.10726,21.24463,19.81655,18.56769,17.96655,1.86263,1.42808,1.24886,0.60114
20.18536,19.266,19.03474,18.93692,18.95518,0.91936,0.23126,0.09782,-0.01826
19.70613,18.83551,18.63817,18.55555,18.60408,0.87062,0.19734,0.08262,-0.04853
21.33092,20.32628,19.9798,19.87267,19.87986,1.00464,0.34648,0.10713,-0.00719
21.65481,19.01243,17.91776,17.18171,16.87243,2.64238,1.09467,0.73605,0.30928
16.52015,15.39308,15.60698,15.80642,15.91294,1.12707,-0.2139,-0.19944,-0.10652
18.28117,17.20132,16.7594,16.55554,16.46429,1.07985,0.44192,0.20386,0.09125
27.11059,14.89955,14.62412,14.1492,14.97973,12.21104,0.27543,0.47492,-0.83053
19.10709,18.00571,17.85341,17.761,17.98974,1.10138,0.1523,0.09241,-0.22874
19.50926,18.44402,18.16936,17.97389,18.19704,1.06524,0.27466,0.19547,-0.22315
16.53623,15.13512,14.51652,14.2631,14.09655,1.40111,0.6186,0.25342,0.16655
15.89986,14.8365,14.47984,14.37411,14.32596,1.06336,0.35666,0.10573,0.04815
20.15343,18.9218,18.72037,19.27713,22.82684,1.23163,0.20143,-0.55676,-3.54971
19.15613,18.1954,17.84278,17.74805,17.72921,0.96073,0.35262,0.09473,0.01884
21.66528,18.10677,18.3279,24.36181,22.82692,3.55851,-0.22113,-6.03391,1.53489
19.24013,18.24066,17.97899,17.8434,17.88745,0.99947,0.26167,0.13559,-0.04405
16.56068,15.67293,15.97345,16.18041,16.32065,0.88775,-0.30052,-0.20696,-0.14024
19.17036,17.85089,17.47571,17.31633,17.37443,1.31947,0.37518,0.15938,-0.0581
23.98721,22.44125,18.94921,17.69939,17.10972,1.54596,3.49204,1.24982,0.58967
17.5595,16.27894,15.87349,15.7242,15.69037,1.28056,0.40545,0.14929,0.03383
18.41178,17.29174,16.8437,16.63564,16.54687,1.12004,0.44804,0.20806,0.08877
18.29387,17.14289,16.68124,16.49593,16.39262,1.15098,0.46165,0.18531,0.10331
19.5524,18.59051,18.34567,18.29577,18.24415,0.96189,0.24484,0.0499,0.05162
18.63237,17.31387,16.81575,16.61633,16.5341,1.3185,0.49812,0.19942,0.08223
20.76696,19.80149,19.5358,19.43463,19.5216,0.96547,0.26569,0.10117,-0.08697
20.4521,19.54027,19.27669,19.17447,19.22561,0.91183,0.26358,0.10222,-0.05114
19.57678,18.61558,18.37369,18.33119,18.29883,0.9612,0.24189,0.0425,0.03236
20.90773,20.128,19.83069,19.72336,19.7338,0.77973,0.29731,0.10733,-0.01044
19.81484,18.8763,18.59397,18.49865,18.44975,0.93854,0.28233,0.09532,0.0489
21.30941,20.30245,19.95871,19.85737,19.80363,1.00696,0.34374,0.10134,0.05374
21.19611,20.16632,19.87239,19.79146,19.74553,1.02979,0.29393,0.08093,0.04593
19.16092,18.15815,18.09481,18.15602,18.22882,1.00277,0.06334,-0.06121,-0.0728
17.13453,15.46299,14.8486,14.63083,14.50736,1.67154,0.61439,0.21777,0.12347
19.9244,17.71877,16.80154,16.48935,16.32723,2.20563,0.91723,0.31219,0.16212
19.83345,18.83548,18.59664,18.54536,18.54109,0.99797,0.23884,0.05128,0.00427
20.09951,18.04295,17.20273,16.94912,16.78159,2.05656,0.84022,0.25361,0.16753
22.89508,20.7401,19.32278,18.0966,17.48991,2.15498,1.41732,1.22618,0.60669
14.64258,13.95408,13.75901,14.67711,12.75688,0.6885,0.19507,-0.9181,1.92023
18.69907,17.63027,17.28946,17.16527,17.15332,1.0688,0.34081,0.12419,0.01195
18.80359,17.4645,17.04184,16.92081,16.88034,1.33909,0.42266,0.12103,0.04047
20.00476,18.89494,18.68461,18.63717,18.60985,1.10982,0.21033,0.04744,0.02732
20.49304,19.88663,19.62144,19.52353,19.44631,0.60641,0.26519,0.09791,0.07722
20.5643,19.05827,18.43175,18.21032,18.09023,1.50603,0.62652,0.22143,0.12009
20.93156,19.86467,19.55182,19.44481,19.36286,1.06689,0.31285,0.10701,0.08195
20.70837,19.8316,19.54815,19.41294,19.39066,0.87677,0.28345,0.13521,0.02228
23.93511,20.90761,19.6143,18.99997,18.66589,3.0275,1.29331,0.61433,0.33408
