r0,g0-r0,Class
19.0803356,0.7828804,1
19.2283356,0.7398804,1
19.5883356,0.8358804,1
19.7223356,0.8498804,1
20.1123356,0.9278804,1
18.9203356,0.6578804,1
19.0843356,0.6738804,1
19.1323356,0.6318804,1
19.2473356,0.6878804,1
19.3573356,0.8058804,1
19.4583356,0.7428804,1
19.9573356,1.0338804,1
20.1783356,1.1278804,1
19.8043356,0.9058804,1
17.1763356,0.4448804,1
17.2753356,0.4598804,1
17.6343356,0.4878804,1
17.8853356,0.4988804,1
17.9823356,0.5368804,1
18.0423356,0.5038804,1
18.1923356,0.5988804,1
18.1573356,0.5328804,1
18.1253356,0.5948804,1
18.2213356,0.5178804,1
18.2223356,0.5418804,1
18.3123356,0.5478804,1
18.4733356,0.5838804,1
18.4753356,0.5758804,1
18.4143356,0.5608804,1
18.5043356,0.5768804,1
18.6053356,0.6748804,1
18.5583356,0.5848804,1
18.6203356,0.5928804,1
18.6513356,0.5948804,1
18.6443356,0.5848804,1
18.7463356,0.6338804,1
18.8323356,0.6898804,1
18.8023356,0.6278804,1
18.7303356,0.6188804,1
18.9303356,0.6418804,1
18.8743356,0.6108804,1
18.9063356,0.6398804,1
19.0543356,0.7458804,1
19.0893356,0.7378804,1
19.2253356,0.8058804,1
19.0913356,0.7298804,1
19.0843356,0.7038804,1
19.2513356,0.7338804,1
19.3733356,0.7588804,1
19.3873356,0.8168804,1
19.2603356,0.7298804,1
19.4243356,0.7418804,1
19.3283356,0.7008804,1
19.5233356,0.8888804,1
19.5983356,0.8028804,1
19.5293356,0.8308804,1
19.7033356,0.7598804,1
19.7283356,0.9608804,1
19.4473356,0.9078804,1
19.5583356,0.7678804,1
19.5683356,0.8328804,1
19.7243356,0.8768804,1
19.8803356,1.0298804,1
19.8643356,0.8938804,1
19.6323356,0.7478804,1
19.8693356,0.8968804,1
19.6953356,0.7608804,1
19.9303356,0.8348804,1
19.7873356,0.8858804,1
20.1363356,1.0168804,1
20.0173356,0.9818804,1
20.1193356,1.0988804,1
20.1263356,1.0388804,1
19.9163356,0.9008804,1
20.2193356,1.0528804,1
18.9163356,0.7438804,1
18.9623356,0.6928804,1
20.1173356,1.1778804,1
20.1283356,0.9268804,1
17.1173356,0.4808804,1
18.0613356,0.4918804,1
18.4853356,0.6348804,1
18.6713356,0.6028804,1
18.7403356,0.6428804,1
19.1943356,0.7348804,1
18.0863356,0.5548804,1
18.6953356,0.6578804,1
18.9013356,0.7448804,1
19.4703356,0.8798804,1
20.2373356,1.0438804,1
20.1323356,0.9458804,1
19.2603356,0.7308804,1
19.9513356,0.9068804,1
16.9013356,0.5028804,1
16.9293356,0.5178804,1
16.9983356,0.4598804,1
16.9723356,0.4698804,1
17.0783356,0.4978804,1
17.1343356,0.5018804,1
17.1813356,0.4738804,1
17.2133356,0.4638804,1
17.2893356,0.4548804,1
17.3703356,0.4648804,1
17.4393356,0.5388804,1
17.4693356,0.5078804,1
17.4163356,0.4818804,1
17.4873356,0.5138804,1
17.5083356,0.4818804,1
17.6653356,0.5058804,1
17.6903356,0.4838804,1
17.6643356,0.4798804,1
17.7043356,0.4898804,1
17.7413356,0.5218804,1
17.8583356,0.5398804,1
17.9613356,0.4988804,1
18.0623356,0.5318804,1
18.1253356,0.5228804,1
18.0963356,0.5208804,1
18.1983356,0.5538804,1
18.1753356,0.5508804,1
18.1993356,0.5428804,1
18.1333356,0.5378804,1
18.1533356,0.5078804,1
18.2453356,0.5728804,1
18.3413356,0.5798804,1
18.2703356,0.5688804,1
18.3093356,0.5728804,1
18.3273356,0.5618804,1
18.3173356,0.5948804,1
18.4023356,0.6088804,1
18.4153356,0.5928804,1
18.4583356,0.6358804,1
18.4513356,0.5908804,1
18.3843356,0.5708804,1
18.5033356,0.6418804,1
18.4723356,0.5858804,1
18.5143356,0.6218804,1
18.5643356,0.6678804,1
18.5113356,0.6288804,1
18.5883356,0.6778804,1
18.5193356,0.6238804,1
18.5213356,0.5968804,1
18.6223356,0.6138804,1
18.6933356,0.6498804,1
18.6513356,0.6108804,1
18.8073356,0.6708804,1
18.6673356,0.6798804,1
18.7203356,0.6678804,1
18.7283356,0.6728804,1
18.7383356,0.5948804,1
18.7533356,0.6178804,1
18.7773356,0.6418804,1
18.8883356,0.6598804,1
18.8633356,0.6388804,1
19.0693356,0.6218804,1
18.9903356,0.6558804,1
19.0863356,0.6768804,1
19.0343356,0.6808804,1
19.0583356,0.7838804,1
19.0403356,0.6948804,1
18.9853356,0.6548804,1
19.2603356,0.7098804,1
19.0643356,0.7158804,1
19.2013356,0.7738804,1
19.1183356,0.6628804,1
19.1373356,0.7458804,1
19.1433356,0.8168804,1
19.1093356,0.6418804,1
19.1503356,0.7408804,1
19.2003356,0.6868804,1
19.3493356,0.7688804,1
19.2133356,0.7468804,1
19.3023356,0.7108804,1
19.7943356,0.7818804,1
19.6783356,0.9428804,1
19.5983356,0.8288804,1
19.4773356,0.7748804,1
19.4253356,0.8698804,1
19.7243356,0.8208804,1
19.6273356,0.7328804,1
19.7533356,0.7748804,1
19.4643356,0.7308804,1
19.8243356,0.8668804,1
19.7343356,0.7928804,1
20.1793356,1.1618804,1
20.1613356,1.1108804,1
19.7733356,0.8258804,1
20.1003356,0.9048804,1
19.6723356,0.7858804,1
19.8413356,0.8138804,1
20.0473356,1.0588804,1
20.2163356,1.0388804,1
18.0133356,0.5248804,1
18.2573356,0.5858804,1
18.7423356,0.5938804,1
19.3983356,0.7818804,1
19.5693356,0.8498804,1
19.5703356,0.7368804,1
19.5613356,0.7548804,1
20.1713356,1.0838804,1
17.5613356,0.4488804,1
18.3263356,0.5898804,1
18.2083356,0.5478804,1
19.0423356,0.6308804,1
18.7063356,0.6278804,1
19.1813356,0.6948804,1
18.9513356,0.5878804,1
19.2573356,0.7308804,1
19.3833356,0.6708804,1
19.4473356,0.7248804,1
19.4023356,0.7458804,1
19.9883356,1.0038804,1
18.8703356,0.6798804,1
19.0153356,0.7518804,1
19.1753356,0.7818804,1
19.5033356,0.7818804,1
19.5153356,0.7798804,1
19.4713356,0.8018804,1
19.8433356,0.7998804,1
19.8413356,0.9148804,1
18.8833356,0.6738804,1
18.9153356,0.6798804,1
19.8713356,0.8598804,1
19.0083356,0.7268804,1
20.0043356,0.8428804,1
18.7223356,0.6358804,1
18.8763356,0.6938804,1
18.8643356,0.7208804,1
19.3503356,0.7548804,1
19.4283356,0.8128804,1
19.8853356,1.0158804,1
18.4963356,0.6228804,1
19.3743356,0.8038804,1
19.4923356,0.7978804,1
20.1743356,1.0268804,1
20.2603356,1.1558804,1
20.2013356,1.0918804,1
16.9673356,0.4598804,1
17.0373356,0.4278804,1
16.9923356,0.4628804,1
17.1283356,0.4798804,1
17.2413356,0.5008804,1
17.1943356,0.4628804,1
17.2153356,0.4498804,1
17.3793356,0.4828804,1
17.3163356,0.4718804,1
17.3623356,0.4678804,1
17.3213356,0.4868804,1
17.4163356,0.4538804,1
17.4193356,0.4968804,1
17.4513356,0.5488804,1
17.4783356,0.4838804,1
17.5313356,0.4558804,1
17.5543356,0.4888804,1
17.5833356,0.4988804,1
17.5093356,0.4608804,1
17.5073356,0.4818804,1
17.5693356,0.4678804,1
17.6333356,0.4568804,1
17.6443356,0.4768804,1
17.7103356,0.4518804,1
17.9073356,0.5288804,1
17.7593356,0.4908804,1
17.8423356,0.5068804,1
17.7993356,0.4748804,1
17.8503356,0.4888804,1
17.9463356,0.5488804,1
17.9993356,0.5618804,1
17.9713356,0.5328804,1
17.9733356,0.4918804,1
18.0173356,0.5048804,1
17.9293356,0.5468804,1
18.0503356,0.5098804,1
18.0363356,0.4758804,1
18.1603356,0.5808804,1
18.0743356,0.5538804,1
18.3203356,0.6168804,1
18.1573356,0.4938804,1
18.2203356,0.5138804,1
18.1813356,0.5638804,1
18.2253356,0.5328804,1
18.2333356,0.5258804,1
18.2233356,0.5458804,1
18.3733356,0.5868804,1
18.4043356,0.5138804,1
18.4973356,0.5508804,1
18.4593356,0.5368804,1
18.5453356,0.6138804,1
18.4353356,0.6188804,1
18.6823356,0.6928804,1
18.4383356,0.5418804,1
18.7163356,0.6968804,1
18.6353356,0.5958804,1
18.7293356,0.6108804,1
18.6833356,0.6258804,1
18.8203356,0.6238804,1
18.6223356,0.6118804,1
18.7613356,0.6988804,1
18.9163356,0.7568804,1
18.8153356,0.6438804,1
18.9073356,0.7068804,1
18.8873356,0.7438804,1
18.8583356,0.7038804,1
