kic,bjd0,period
KIC 5077994,54954.086678,0.6962874
KIC 5078879,55003.081021,1.0393706
KIC 5080652,54968.166959,4.1443566
KIC 5088735,55003.059771,0.5075008
KIC 5090937,55001.089963,8.8006929
KIC 5095269,54966.865286,18.6119616
KIC 5097446,54964.98609,1.2880641
KIC 5104097,55000.035311,0.2753953
KIC 5110423,55007.012744,5.3704341
KIC 5112567,54966.127827,1.6158919
KIC 5113053,55001.32836,3.1850998
KIC 5115178,54965.838513,12.8517242
KIC 5122112,54967.437373,3.05517
KIC 5123176,54953.903419,0.7078436
KIC 5127005,54955.159118,1.6211241
KIC 5128972,54965.046701,0.5053236
KIC 5166136,54964.809081,0.2339477
KIC 5174346,55002.130574,0.3505923
KIC 5181455,54966.552696,5.5796309
KIC 5181804,55000.068988,4.3505
KIC 5195137,54964.554051,0.324117
KIC 5196301,54955.143163,1.9104098
KIC 5197256,55003.087355,6.9633883
KIC 5198934,54965.090274,0.8347392
KIC 5199489,55002.248139,0.4648159
KIC 5201619,54964.774736,0.507276
KIC 5211385,54955.44417,1.6606874
KIC 5211470,55004.227339,4.8085954
KIC 5213466,55165.534389,2.8193115
KIC 5215700,55186.237774,1.3124021
KIC 5215999,54965.482686,2.5311576
KIC 5216727,54964.929149,1.5130232
KIC 5218014,54971.333966,10.8452926
KIC 5218385,54964.580677,0.2815375
KIC 5218441,54968.284761,3.6137546
KIC 5259926,54964.912755,0.4378098
KIC 5263802,54958.146746,6.7005059
KIC 5264818,54955.233438,1.9050502
KIC 5266937,54971.815659,5.9170863
KIC 5269407,54965.645124,0.9588711
KIC 5282049,55187.374744,5.9103771
KIC 5282464,54964.707882,0.4963991
KIC 5283266,54964.67672,0.3146487
KIC 5283839,54964.855369,0.3152311
KIC 5284133,54958.889871,8.7845759
KIC 5284262,55004.961964,17.9633117
KIC 5285607,54959.57601,3.8994011
KIC 5286221,55004.348011,15.2959828
KIC 5286786,54966.802029,9.9487462
KIC 5287983,55003.994398,2.5071049
KIC 5288543,54964.805421,3.4570755
KIC 5290305,55000.301664,0.6205088
KIC 5294739,54968.053209,3.7359952
KIC 5296276,54999.250265,1.8920026
KIC 5296877,54953.816369,0.3772645
KIC 5300878,54965.493633,1.2794432
KIC 5302006,54980.50904,0.1511712
KIC 5306862,54954.692842,2.0256383
KIC 5307780,54964.975035,0.3088511
KIC 5309353,55004.107012,1.37638
KIC 5310387,54953.664664,0.4416691
KIC 5310435,54956.290941,4.9313644
KIC 5343976,54954.732569,4.3313919
KIC 5347784,54962.286092,9.5840588
KIC 5353374,54964.660948,0.3933205
KIC 5353653,55000.059694,0.3685569
KIC 5357682,55000.234001,0.7177063
KIC 5357882,55000.089402,0.3874025
KIC 5358200,54999.757109,0.5359481
KIC 5359678,54966.123235,6.23061
KIC 5369419,54954.046978,0.4376804
KIC 5369827,54967.778417,3.606928
KIC 5370302,54967.350725,3.9043269
KIC 5371109,54965.789741,1.1918616
KIC 5372966,54967.675326,9.2863571
KIC 5374883,54964.75622,0.4197169
KIC 5374999,54965.263115,0.4578798
KIC 5376552,54954.083822,0.5038186
KIC 5376836,54966.317189,3.4794252
KIC 5377349,54965.748569,1.1167657
KIC 5384802,54966.988768,6.0830927
KIC 5385723,54998.013883,12.4449256
KIC 5386810,54954.086668,0.8888907
KIC 5389616,54964.772606,0.4068838
KIC 5390351,54999.935725,0.5474536
KIC 5393558,54970.245634,10.2171033
KIC 5394544,54953.663406,0.4319744
KIC 5396122,54971.166582,15.444304
KIC 5398002,55009.793719,14.1531749
KIC 5425950,54964.615475,0.3781682
KIC 5428668,54976.431891,1.406701
KIC 5439790,54954.502903,0.7960862
