kepid,kepler_name,koi_period,koi_time0bk,koi_duration
KIC 6037581,Kepler-336 b,2.0248205,132.35465,2.55
KIC 6037581,Kepler-336 c,9.59993246,136.58227,4.3206
KIC 6046540,Kepler-74 b,7.340714946,134.3457036,2.9987
KIC 6047072,Kepler-1095 b,4.27103727,133.14028,2.2759
KIC 6060203,Kepler-757 b,1.022678654,133.45422,1.3712
KIC 6062088,Kepler-203 b,3.162692075,169.64186,1.9529
KIC 6062088,Kepler-203 c,5.370639542,172.23815,2.1121
KIC 6062088,Kepler-203 d,11.32977062,133.96755,3.845
KIC 6063220,Kepler-99 b,4.603575293,171.840124,2.3499
KIC 6118370,Kepler-1506 b,14.0328775,138.0603,6.684
KIC 6124512,Kepler-1296 b,8.38395796,134.41408,5.2
KIC 6129524,Kepler-1379 b,0.88184263,131.68869,1.3117
KIC 6152974,Kepler-118 b,7.51854537,132.53078,2.845
KIC 6184894,Kepler-1627 b,7.20281185,135.19499,2.8305
KIC 6186964,Kepler-1366 b,2.164570593,131.83142,1.2862
KIC 6196457,Kepler-92 b,13.74883059,179.279158,6.0968
KIC 6198999,Kepler-928 b,3.93246069,132.55435,2.1763
KIC 6200235,Kepler-1205 b,1.078389713,133.25041,1.3394
KIC 6205228,Kepler-996 b,3.770590654,133.39088,2.029
KIC 6205897,Kepler-1029 b,4.417692516,133.96139,2.323
KIC 6206214,Kepler-1158 b,13.53953595,143.15629,4.389
KIC 6209677,Kepler-948 b,7.76845639,138.06602,3.689
KIC 6226290,Kepler-1057 b,14.08826442,137.34334,4.1847
KIC 6265792,Kepler-1338 b,0.935115863,132.20193,1.6172
KIC 6266741,Kepler-170 b,7.930583519,169.516944,3.6083
KIC 6266741,Kepler-170 c,16.6658994,180.20215,4.1934
KIC 6267535,Kepler-638 b,6.07972016,170.58389,7.1228
KIC 6268648,Kepler-907 b,15.86624787,141.08734,4.25
KIC 6269070,Kepler-1288 b,2.7612237,131.6081,3.681
KIC 6272413,Kepler-776 b,4.89721006,133.39852,1.812
KIC 6276477,Kepler-701 b,10.35533116,170.93729,3.1775
KIC 6278762,Kepler-444 b,3.60011712,133.25983,2.396
KIC 6278762,Kepler-444 c,4.54586982,131.52442,1.756
KIC 6278762,Kepler-444 d,6.18943952,134.78,2.3316
KIC 6278762,Kepler-444 e,7.74347801,135.09417,2.7878
KIC 6278762,Kepler-444 f,9.74048508,134.87916,1.6993
KIC 6287313,Kepler-1147 b,10.62788695,137.81843,4.576
KIC 6289257,Kepler-520 c,5.21104597,131.53797,3.3447
KIC 6291033,Kepler-557 b,3.705991661,169.94286,5.1658
KIC 6291653,Kepler-702 b,10.526294577,176.522462,2.5211
KIC 6294819,Kepler-1368 b,0.675650404,131.68114,1.8261
KIC 6305192,Kepler-494 b,8.025118521,132.469133,5.3694
KIC 6310636,Kepler-929 b,0.921030497,132.03171,2.6077
KIC 6343170,Kepler-1230 b,9.95667035,136.5827,3.534
KIC 6345732,Kepler-1370 c,7.44136102,137.74695,4.554
KIC 6347299,Kepler-204 b,14.40090414,174.98964,4.1682
KIC 6356207,Kepler-1059 b,3.76417012,132.35462,2.0111
KIC 6359320,Kepler-269 b,5.32667299,357.12617,3.4045
KIC 6359320,Kepler-269 c,8.1280933,358.68367,3.727
KIC 6362874,Kepler-775 b,0.974868896,133.076265,1.6191
KIC 6365156,Kepler-639 b,10.21418792,170.70466,5.8201
KIC 6381846,Kepler-171 b,4.16696628,169.715517,2.7535
KIC 6381846,Kepler-171 c,11.46347165,137.38521,2.599
KIC 6382217,Kepler-353 b,5.79529495,136.77974,2.272
